Age_Category,Gender,License,Coverage,Earned_Premium_Income,Exposure,Total_Paid,Estimated_Cost,Cost,No_of_Claims,No_of_Large_Claims,Dev_Year,Year,DevYear
over 70,Male,Full,ThirdPartyOnly,610241,1280.587698,89018,293589,382607,41,0,1,2015,2015@2015
17 to 20,Female,Full,All,2514560,2348.86,1232600,891541,2124140,278,1,5,2013,2009@2013
17 to 20,Female,Provisional,All,6145390,4518.77,4888030,1639110,6527140,585,12,5,2013,2009@2013
17 to 20,Male,Full,All,6641560,3648.62,7556220,635330,8191550,505,21,5,2013,2009@2013
17 to 20,Male,Provisional,All,9324910,4346.25,8996920,2084580,11081500,777,18,5,2013,2009@2013
17 to 20,Female,Full,All,9417170,10681.2,7074530,5471650,12546200,1088,14,5,2013,2009@2013
17 to 20,Female,Provisional,All,7546730,6653.83,7825660,584596,8410250,818,15,5,2013,2009@2013
17 to 20,Male,Full,All,18267800,12438,10733000,2371130,13104100,1398,28,5,2013,2009@2013
17 to 20,Male,Provisional,All,7845780,4293.46,5207150,1812920,7020060,666,10,5,2013,2009@2013
21 to 24,Female,Full,All,27598200,44636.9,18939600,4138940,23078500,4079,30,5,2013,2009@2013
21 to 24,Female,Provisional,All,13563300,15751.2,9668730,911448,10580200,1844,14,5,2013,2009@2013
21 to 24,Male,Full,All,43339600,43304.6,29079000,4798650,33877700,4274,62,5,2013,2009@2013
21 to 24,Male,Provisional,All,12549900,9500.16,14729900,5938590,20668500,1302,22,5,2013,2009@2013
25 to 30,Female,Full,All,50373400,104647,33537900,5608290,39146200,8877,46,5,2013,2009@2013
25 to 30,Female,Provisional,All,14752500,21747.2,10265600,4187140,14452800,2321,17,5,2013,2009@2013
25 to 30,Male,Full,All,68178700,100444,50766400,7587850,58354300,9279,82,5,2013,2009@2013
25 to 30,Male,Provisional,All,13227600,14581.1,9863440,1278240,11141700,1739,23,5,2013,2009@2013
31 to 50,Female,Full,All,81294700,193183,58606800,18239900,76846700,15646,66,5,2013,2009@2013
31 to 50,Female,Provisional,All,13892600,23821.5,11416000,2465170,13881100,2356,24,5,2013,2009@2013
31 to 50,Male,Full,All,97785200,183079,67662100,9048220,76710400,15222,106,5,2013,2009@2013
31 to 50,Male,Provisional,All,11151200,15257.7,7865590,1306260,9171840,1667,18,5,2013,2009@2013
31 to 50,Female,Full,All,73097300,167995,47984700,8429130,56413800,12844,63,5,2013,2009@2013
31 to 50,Female,Provisional,All,9002660,15335,6159020,982743,7141760,1580,8,5,2013,2009@2013
31 to 50,Male,Full,All,86897400,172852,57606200,7640750,65247000,12453,74,5,2013,2009@2013
31 to 50,Male,Provisional,All,5781180,8484.9,3504470,1237170,4741640,711,8,5,2013,2009@2013
51 to 70,Female,Full,All,50655700,121603,33608400,2791180,36399600,8000,30,5,2013,2009@2013
51 to 70,Female,Provisional,All,5856830,10892.1,3098810,799130,3897940,711,5,5,2013,2009@2013
51 to 70,Male,Full,All,74421500,153826,36733900,5595990,42329900,9390,60,5,2013,2009@2013
51 to 70,Male,Provisional,All,3835430,5992.7,2355620,1159550,3515170,413,4,5,2013,2009@2013
51 to 70,Female,Full,All,25897800,70056.9,12720500,1156170,13876700,4052,14,5,2013,2009@2013
51 to 70,Female,Provisional,All,1913140,4214.27,770584,63600,834184,217,1,5,2013,2009@2013
51 to 70,Male,Full,All,48297400,109680,24836100,2301990,27138100,5953,31,5,2013,2009@2013
51 to 70,Male,Provisional,All,1547050,2806.54,574185,69262,643447,146,1,5,2013,2009@2013
over 70,Female,Full,All,16417800,38126,12656700,1437990,14094700,2478,25,5,2013,2009@2013
over 70,Female,Provisional,All,700067,1339.54,329630,0,329630,60,1,5,2013,2009@2013
over 70,Male,Full,All,34301700,70455.6,18703700,2109790,20813500,4123,34,5,2013,2009@2013
over 70,Male,Provisional,All,710290,1171.9,411494,81151,492645,46,1,5,2013,2009@2013
17 to 20,Female,Full,Comprehensive,1299130,1071.96,682084,873906,1555990,158,1,5,2013,2009@2013
17 to 20,Female,Provisional,Comprehensive,2649520,1730.24,1976250,976814,2953060,268,6,5,2013,2009@2013
17 to 20,Male,Full,Comprehensive,2126840,1034.02,2647580,196289,2843870,184,7,5,2013,2009@2013
17 to 20,Male,Provisional,Comprehensive,2043710,883.838,1464720,1386110,2850840,186,3,5,2013,2009@2013
17 to 20,Female,Full,Comprehensive,6020630,6225.45,4771930,141561,4913490,759,7,5,2013,2009@2013
17 to 20,Female,Provisional,Comprehensive,3817120,3071.71,3371130,135592,3506720,446,5,5,2013,2009@2013
17 to 20,Male,Full,Comprehensive,8081450,4967.56,4772790,869868,5642660,715,10,5,2013,2009@2013
17 to 20,Male,Provisional,Comprehensive,2496070,1250.71,1194430,422798,1617220,228,3,5,2013,2009@2013
21 to 24,Female,Full,Comprehensive,21299600,33146,15150000,1105400,16255400,3341,18,5,2013,2009@2013
21 to 24,Female,Provisional,Comprehensive,8319800,8988.1,5761650,503141,6264790,1279,7,5,2013,2009@2013
21 to 24,Male,Full,Comprehensive,24871800,23185.8,17319700,2489390,19809100,2730,32,5,2013,2009@2013
21 to 24,Male,Provisional,Comprehensive,5454380,3836.84,3036950,268474,3305420,647,3,5,2013,2009@2013
25 to 30,Female,Full,Comprehensive,43484900,89849.9,29833400,3738960,33572300,7983,37,5,2013,2009@2013
25 to 30,Female,Provisional,Comprehensive,10415800,14944.8,7994480,3911170,11905700,1778,13,5,2013,2009@2013
25 to 30,Male,Full,Comprehensive,46630300,67639.7,34291000,5020570,39311600,6969,46,5,2013,2009@2013
25 to 30,Male,Provisional,Comprehensive,7289620,7966.58,6031620,623482,6655100,1146,12,5,2013,2009@2013
31 to 50,Female,Full,Comprehensive,74849300,176902,53519900,17723900,71243900,14803,56,5,2013,2009@2013
31 to 50,Female,Provisional,Comprehensive,10618100,18020.8,9013420,992895,10006300,1957,17,5,2013,2009@2013
31 to 50,Male,Full,Comprehensive,78510000,145200,54621200,7105700,61726900,13017,78,5,2013,2009@2013
31 to 50,Male,Provisional,Comprehensive,7251060,9992.15,5391630,744921,6136550,1249,11,5,2013,2009@2013
31 to 50,Female,Full,Comprehensive,66663800,152947,44086700,7305990,51392700,12199,59,5,2013,2009@2013
31 to 50,Female,Provisional,Comprehensive,6900310,11509.2,4715780,888401,5604180,1174,7,5,2013,2009@2013
31 to 50,Male,Full,Comprehensive,72556200,141941,49395200,6310740,55705900,11075,55,5,2013,2009@2013
31 to 50,Male,Provisional,Comprehensive,3875520,5650.89,2406290,842316,3248610,525,5,5,2013,2009@2013
51 to 70,Female,Full,Comprehensive,45840400,109410,31135900,2483850,33619700,7556,26,5,2013,2009@2013
51 to 70,Female,Provisional,Comprehensive,4589320,8174.46,2755270,786630,3541900,615,5,5,2013,2009@2013
51 to 70,Male,Full,Comprehensive,62295800,125741,32029800,3991670,36021400,8501,49,5,2013,2009@2013
51 to 70,Male,Provisional,Comprehensive,2614510,3951.35,1595910,1094070,2689980,327,3,5,2013,2009@2013
51 to 70,Female,Full,Comprehensive,23541500,62760.9,11986800,1035280,13022100,3861,11,5,2013,2009@2013
51 to 70,Female,Provisional,Comprehensive,1459610,3053.21,682879,22000,704879,191,1,5,2013,2009@2013
51 to 70,Male,Full,Comprehensive,40681900,89554.8,22211800,1968310,24180100,5398,26,5,2013,2009@2013
51 to 70,Male,Provisional,Comprehensive,1045370,1841.61,398035,0,398035,117,0,5,2013,2009@2013
over 70,Female,Full,Comprehensive,14364400,32606.8,10592700,1088900,11681600,2065,19,5,2013,2009@2013
over 70,Female,Provisional,Comprehensive,484682,868.589,276949,0,276949,46,1,5,2013,2009@2013
over 70,Male,Full,Comprehensive,27528900,54189.5,15321600,1832500,17154100,3527,27,5,2013,2009@2013
over 70,Male,Provisional,Comprehensive,437827,695.512,78524,0,78524,37,0,5,2013,2009@2013
17 to 20,Female,Full,ThirdPartyFireTheft,1213670,1275.19,550517,17635,568152,120,0,5,2013,2009@2013
17 to 20,Female,Provisional,ThirdPartyFireTheft,3484730,2781.67,2911790,662297,3574080,316,6,5,2013,2009@2013
17 to 20,Male,Full,ThirdPartyFireTheft,4500970,2608.46,4907940,439041,5346980,320,14,5,2013,2009@2013
17 to 20,Male,Provisional,ThirdPartyFireTheft,7242700,3447.48,7364260,688262,8052520,587,15,5,2013,2009@2013
17 to 20,Female,Full,ThirdPartyFireTheft,3385100,4443.02,2302600,5330090,7632680,329,7,5,2013,2009@2013
17 to 20,Female,Provisional,ThirdPartyFireTheft,3716500,3571.76,4452990,449004,4901990,371,10,5,2013,2009@2013
17 to 20,Male,Full,ThirdPartyFireTheft,10104700,7417.65,5874150,1501260,7375410,678,18,5,2013,2009@2013
17 to 20,Male,Provisional,ThirdPartyFireTheft,5303480,3021.23,3998060,1390120,5388180,434,7,5,2013,2009@2013
21 to 24,Female,Full,ThirdPartyFireTheft,6250780,11425.9,3688190,3028040,6716230,732,11,5,2013,2009@2013
21 to 24,Female,Provisional,ThirdPartyFireTheft,5197870,6721.91,3870660,372307,4242960,557,7,5,2013,2009@2013
21 to 24,Male,Full,ThirdPartyFireTheft,18246300,19914.6,11678300,2309260,13987500,1531,30,5,2013,2009@2013
21 to 24,Male,Provisional,ThirdPartyFireTheft,7026010,5615.27,11637900,5670110,17308000,646,19,5,2013,2009@2013
25 to 30,Female,Full,ThirdPartyFireTheft,6739130,14497.8,3532780,1869330,5402110,869,9,5,2013,2009@2013
25 to 30,Female,Provisional,ThirdPartyFireTheft,4279150,6724.54,2267890,275970,2543860,538,4,5,2013,2009@2013
25 to 30,Male,Full,ThirdPartyFireTheft,21034200,31947,16122400,2546450,18668900,2266,35,5,2013,2009@2013
25 to 30,Male,Provisional,ThirdPartyFireTheft,5838900,6505.98,3629270,654759,4284030,576,10,5,2013,2009@2013
31 to 50,Female,Full,ThirdPartyFireTheft,6139540,15420.2,4883330,515940,5399270,806,10,5,2013,2009@2013
31 to 50,Female,Provisional,ThirdPartyFireTheft,3188490,5658.04,2400410,1472280,3872690,392,7,5,2013,2009@2013
31 to 50,Male,Full,ThirdPartyFireTheft,18120900,34935.6,12391000,1649820,14040800,2065,26,5,2013,2009@2013
31 to 50,Male,Provisional,ThirdPartyFireTheft,3763690,5053.58,2353130,546734,2899860,394,7,5,2013,2009@2013
31 to 50,Female,Full,ThirdPartyFireTheft,6026630,13974.4,3774830,1123140,4897970,614,4,5,2013,2009@2013
31 to 50,Female,Provisional,ThirdPartyFireTheft,2049200,3731.04,864639,52216,916855,199,1,5,2013,2009@2013
31 to 50,Male,Full,ThirdPartyFireTheft,13121800,27612.9,7721640,1330010,9051650,1273,19,5,2013,2009@2013
31 to 50,Male,Provisional,ThirdPartyFireTheft,1816280,2679.43,1096650,394850,1491500,181,3,5,2013,2009@2013
51 to 70,Female,Full,ThirdPartyFireTheft,4500650,11314.1,2074330,263635,2337970,401,2,5,2013,2009@2013
51 to 70,Female,Provisional,ThirdPartyFireTheft,1231660,2638.24,343539,12500,356039,96,0,5,2013,2009@2013
51 to 70,Male,Full,ThirdPartyFireTheft,10836000,24824.9,4275690,1260320,5536010,812,8,5,2013,2009@2013
51 to 70,Male,Provisional,ThirdPartyFireTheft,1133770,1884.3,756236,65485,821721,84,1,5,2013,2009@2013
51 to 70,Female,Full,ThirdPartyFireTheft,2188230,6745.47,712778,120894,833672,178,3,5,2013,2009@2013
51 to 70,Female,Provisional,ThirdPartyFireTheft,433498,1113.08,81423,41600,123023,25,0,5,2013,2009@2013
51 to 70,Male,Full,ThirdPartyFireTheft,6827340,17814.9,2396650,255926,2652580,501,4,5,2013,2009@2013
51 to 70,Male,Provisional,ThirdPartyFireTheft,457374,879.962,176150,69262,245412,29,1,5,2013,2009@2013
over 70,Female,Full,ThirdPartyFireTheft,1900240,5080.48,1521230,323417,1844650,209,6,5,2013,2009@2013
over 70,Female,Provisional,ThirdPartyFireTheft,200754,437.901,52681,0,52681,14,0,5,2013,2009@2013
over 70,Male,Full,ThirdPartyFireTheft,6058280,14357,2965610,183355,3148960,473,5,5,2013,2009@2013
over 70,Male,Provisional,ThirdPartyFireTheft,248550,434.83,332970,81151,414121,9,1,5,2013,2009@2013
17 to 20,Female,Full,ThirdPartyOnly,1758,1.70685,0,0,0,0,0,5,2013,2009@2013
17 to 20,Female,Provisional,ThirdPartyOnly,11148.8,6.86028,0,0,0,1,0,5,2013,2009@2013
17 to 20,Male,Full,ThirdPartyOnly,13752.7,6.14247,693,0,693,1,0,5,2013,2009@2013
17 to 20,Male,Provisional,ThirdPartyOnly,38493.5,14.9342,167938,10201,178139,4,0,5,2013,2009@2013
17 to 20,Female,Full,ThirdPartyOnly,10567.4,12.0219,0,0,0,0,0,5,2013,2009@2013
17 to 20,Female,Provisional,ThirdPartyOnly,13109.1,10.3589,1536,0,1536,1,0,5,2013,2009@2013
17 to 20,Male,Full,ThirdPartyOnly,81725.6,52.7836,86067,0,86067,5,0,5,2013,2009@2013
17 to 20,Male,Provisional,ThirdPartyOnly,46230.8,21.5205,14662,0,14662,4,0,5,2013,2009@2013
21 to 24,Female,Full,ThirdPartyOnly,41161.9,58.7068,101351,5500,106851,6,1,5,2013,2009@2013
21 to 24,Female,Provisional,ThirdPartyOnly,41735.8,37.989,36429,36000,72429,8,0,5,2013,2009@2013
21 to 24,Male,Full,ThirdPartyOnly,218913,203.101,81077,0,81077,13,0,5,2013,2009@2013
21 to 24,Male,Provisional,ThirdPartyOnly,68637.6,47.4904,55081,0,55081,9,0,5,2013,2009@2013
25 to 30,Female,Full,ThirdPartyOnly,134932,280.627,171803,0,171803,24,0,5,2013,2009@2013
25 to 30,Female,Provisional,ThirdPartyOnly,53221.7,71.8658,3277,0,3277,5,0,5,2013,2009@2013
25 to 30,Male,Full,ThirdPartyOnly,512000,854.197,352977,20830,373807,44,1,5,2013,2009@2013
25 to 30,Male,Provisional,ThirdPartyOnly,95920.2,106.362,202546,0,202546,17,1,5,2013,2009@2013
31 to 50,Female,Full,ThirdPartyOnly,300799,851.608,203583,0,203583,37,0,5,2013,2009@2013
31 to 50,Female,Provisional,ThirdPartyOnly,84778.1,141.345,2123,0,2123,7,0,5,2013,2009@2013
31 to 50,Male,Full,ThirdPartyOnly,1143340,2924.52,642104,292705,934809,138,2,5,2013,2009@2013
31 to 50,Male,Provisional,ThirdPartyOnly,133599,208.444,117766,14600,132366,22,0,5,2013,2009@2013
31 to 50,Female,Full,ThirdPartyOnly,402658,1067.56,116817,0,116817,29,0,5,2013,2009@2013
31 to 50,Female,Provisional,ThirdPartyOnly,49788.6,93.863,578606,42126,620732,207,0,5,2013,2009@2013
31 to 50,Male,Full,ThirdPartyOnly,1208640,3281.29,460402,0,460402,102,0,5,2013,2009@2013
31 to 50,Male,Provisional,ThirdPartyOnly,87405.7,152.704,1533,0,1533,5,0,5,2013,2009@2013
51 to 70,Female,Full,ThirdPartyOnly,308545,867.436,232690,0,232690,23,1,5,2013,2009@2013
51 to 70,Female,Provisional,ThirdPartyOnly,35012.9,78.4247,0,0,0,0,0,5,2013,2009@2013
51 to 70,Male,Full,ThirdPartyOnly,1278680,3241.5,421264,344000,765264,76,3,5,2013,2009@2013
51 to 70,Male,Provisional,ThirdPartyOnly,85363.2,155.907,3474,0,3474,2,0,5,2013,2009@2013
51 to 70,Female,Full,ThirdPartyOnly,163196,542.86,20393,0,20393,12,0,5,2013,2009@2013
51 to 70,Female,Provisional,ThirdPartyOnly,19027.9,46.3452,0,0,0,0,0,5,2013,2009@2013
51 to 70,Male,Full,ThirdPartyOnly,775122,2289.9,222472,77750,300222,52,1,5,2013,2009@2013
51 to 70,Male,Provisional,ThirdPartyOnly,43358.6,83.1534,0,0,0,0,0,5,2013,2009@2013
over 70,Female,Full,ThirdPartyOnly,149755,433.822,542786,25678,568464,204,0,5,2013,2009@2013
over 70,Female,Provisional,ThirdPartyOnly,14128,32.1726,0,0,0,0,0,5,2013,2009@2013
over 70,Male,Full,ThirdPartyOnly,700323,1889.88,415804,93940,509744,121,2,5,2013,2009@2013
over 70,Male,Provisional,ThirdPartyOnly,22781.5,39.9315,0,0,0,0,0,5,2013,2009@2013
17 to 20,Female,Full,All,1552200,1453.38,1244160,248366,1492530,102,3,4,2013,2010@2013
17 to 20,Female,Provisional,All,5875840,4332.65,3152730,1366210,4518940,465,5,4,2013,2010@2013
17 to 20,Male,Full,All,4181180,2472.71,2445060,1771150,4216200,244,8,4,2013,2010@2013
17 to 20,Male,Provisional,All,6876520,3205.61,5227160,3992140,9219300,427,18,4,2013,2010@2013
17 to 20,Female,Full,All,8323210,9481.47,4093470,1584960,5678420,710,9,4,2013,2010@2013
17 to 20,Female,Provisional,All,7923210,6472.44,4622320,449065,5071380,669,9,4,2013,2010@2013
17 to 20,Male,Full,All,15210600,11233.9,8096160,3794840,11891000,915,25,4,2013,2010@2013
17 to 20,Male,Provisional,All,5960700,3232.23,4290370,1188420,5478790,394,13,4,2013,2010@2013
21 to 24,Female,Full,All,26594600,42734.4,14196400,3330800,17527200,3176,18,4,2013,2010@2013
21 to 24,Female,Provisional,All,13145000,14010.3,9788800,729229,10518000,1326,14,4,2013,2010@2013
21 to 24,Male,Full,All,37347600,39069.5,16853000,4498450,21351400,3061,39,4,2013,2010@2013
21 to 24,Male,Provisional,All,8973010,6537.06,4957950,2211180,7169130,748,18,4,2013,2010@2013
25 to 30,Female,Full,All,47769500,97039.4,24717900,5088500,29806400,6972,36,4,2013,2010@2013
25 to 30,Female,Provisional,All,13085400,17925.4,8804610,2633620,11438200,1732,17,4,2013,2010@2013
25 to 30,Male,Full,All,57691800,86715.9,31947100,9151490,41098600,6525,58,4,2013,2010@2013
25 to 30,Male,Provisional,All,10586500,11017.6,6734710,2301750,9036460,1156,19,4,2013,2010@2013
31 to 50,Female,Full,All,80156000,182734,40710100,9723510,50433600,12683,56,4,2013,2010@2013
31 to 50,Female,Provisional,All,11765800,18915.9,7246050,2400470,9646530,1808,16,4,2013,2010@2013
31 to 50,Male,Full,All,89324000,166894,54602200,19091200,73693400,12143,103,4,2013,2010@2013
31 to 50,Male,Provisional,All,9384730,12335.4,4831790,958310,5790100,1183,10,4,2013,2010@2013
31 to 50,Female,Full,All,73040300,160988,34324300,8360160,42684500,10327,55,4,2013,2010@2013
31 to 50,Female,Provisional,All,7820460,12464.8,4554750,1287180,5841930,977,13,4,2013,2010@2013
31 to 50,Male,Full,All,81054600,158892,41554200,11933800,53488100,10113,77,4,2013,2010@2013
31 to 50,Male,Provisional,All,4872830,6877.01,2426070,449027,2875090,552,3,4,2013,2010@2013
51 to 70,Female,Full,All,51385100,119479,21279000,5065680,26344700,6630,29,4,2013,2010@2013
51 to 70,Female,Provisional,All,5200050,9163.98,2852550,3412440,6264990,552,6,4,2013,2010@2013
51 to 70,Male,Full,All,76976700,160262,31593400,8478070,40071400,8908,61,4,2013,2010@2013
51 to 70,Male,Provisional,All,3246630,4980.39,1750750,944189,2694940,300,7,4,2013,2010@2013
51 to 70,Female,Full,All,27099800,70735,10428200,4177240,14605400,3533,21,4,2013,2010@2013
51 to 70,Female,Provisional,All,1819140,3894.4,553602,8220,561822,210,0,4,2013,2010@2013
51 to 70,Male,Full,All,48188600,107562,18569500,6526300,25095800,5099,43,4,2013,2010@2013
51 to 70,Male,Provisional,All,1402290,2501.9,479214,46206,525420,124,0,4,2013,2010@2013
over 70,Female,Full,All,18030900,39887.3,8672980,1656110,10329100,2156,14,4,2013,2010@2013
over 70,Female,Provisional,All,693402,1272.09,177638,64525,242163,55,0,4,2013,2010@2013
over 70,Male,Full,All,35693600,71013,16258100,3036540,19294600,3713,25,4,2013,2010@2013
over 70,Male,Provisional,All,623251,1016.96,302023,130265,432288,47,1,4,2013,2010@2013
17 to 20,Female,Full,Comprehensive,778486,628.458,109321,21366,130687,54,0,4,2013,2010@2013
17 to 20,Female,Provisional,Comprehensive,2160370,1389.86,889904,28404,918308,203,0,4,2013,2010@2013
17 to 20,Male,Full,Comprehensive,1138280,604.348,701727,169728,871455,64,2,4,2013,2010@2013
17 to 20,Male,Provisional,Comprehensive,1179400,533.384,701487,160811,862298,82,1,4,2013,2010@2013
17 to 20,Female,Full,Comprehensive,5101670,5245.15,2448950,1104710,3553660,476,4,4,2013,2010@2013
17 to 20,Female,Provisional,Comprehensive,3585260,2672.35,1639760,212950,1852710,349,2,4,2013,2010@2013
17 to 20,Male,Full,Comprehensive,5961090,4035.94,2898850,613870,3512720,389,6,4,2013,2010@2013
17 to 20,Male,Provisional,Comprehensive,1457750,763.507,982781,206854,1189640,116,3,4,2013,2010@2013
21 to 24,Female,Full,Comprehensive,20329500,31579.3,10270600,1399020,11669600,2549,11,4,2013,2010@2013
21 to 24,Female,Provisional,Comprehensive,7421320,7449.81,5117260,257998,5375260,828,6,4,2013,2010@2013
21 to 24,Male,Full,Comprehensive,20409500,20131.8,9559590,2631480,12191100,1822,19,4,2013,2010@2013
21 to 24,Male,Provisional,Comprehensive,3460180,2470.97,1963910,704685,2668590,331,8,4,2013,2010@2013
25 to 30,Female,Full,Comprehensive,40984000,82723.2,21180400,4203300,25383700,6276,30,4,2013,2010@2013
25 to 30,Female,Provisional,Comprehensive,8617900,11486.3,5785460,1264740,7050190,1288,8,4,2013,2010@2013
25 to 30,Male,Full,Comprehensive,38916000,57481.7,21127100,4978950,26106000,4828,33,4,2013,2010@2013
25 to 30,Male,Provisional,Comprehensive,5410020,5728.56,3544920,1004600,4549530,720,8,4,2013,2010@2013
31 to 50,Female,Full,Comprehensive,73957000,167645,38077900,7857410,45935300,12000,44,4,2013,2010@2013
31 to 50,Female,Provisional,Comprehensive,8759320,13942.8,5617170,1562930,7180100,1460,12,4,2013,2010@2013
31 to 50,Male,Full,Comprehensive,71404700,131012,44308000,10990800,55298800,10408,73,4,2013,2010@2013
31 to 50,Male,Provisional,Comprehensive,5889650,7874.26,3105710,642876,3748590,842,5,4,2013,2010@2013
31 to 50,Female,Full,Comprehensive,66802900,147240,32337000,7011190,39348100,9825,48,4,2013,2010@2013
31 to 50,Female,Provisional,Comprehensive,5881040,9283.85,3688240,1058580,4746820,813,11,4,2013,2010@2013
31 to 50,Male,Full,Comprehensive,67574500,130061,34050500,8779420,42829900,8969,58,4,2013,2010@2013
31 to 50,Male,Provisional,Comprehensive,3226010,4568.67,1719850,260177,1980030,438,1,4,2013,2010@2013
51 to 70,Female,Full,Comprehensive,46933400,108633,20060100,4703420,24763500,6306,26,4,2013,2010@2013
51 to 70,Female,Provisional,Comprehensive,4088700,6918.7,2470890,3412440,5883330,477,6,4,2013,2010@2013
51 to 70,Male,Full,Comprehensive,65750700,134466,27452600,6770960,34223600,8145,49,4,2013,2010@2013
51 to 70,Male,Provisional,Comprehensive,2193050,3270.33,1212400,400035,1612430,227,4,4,2013,2010@2013
51 to 70,Female,Full,Comprehensive,24896100,64117.5,9910070,3424240,13334300,3372,19,4,2013,2010@2013
51 to 70,Female,Provisional,Comprehensive,1385470,2817.12,492477,8220,500697,170,0,4,2013,2010@2013
51 to 70,Male,Full,Comprehensive,41058000,88933.7,16378500,6153400,22531900,4650,38,4,2013,2010@2013
51 to 70,Male,Provisional,Comprehensive,942509,1634.17,243106,0,243106,91,0,4,2013,2010@2013
over 70,Female,Full,Comprehensive,15906400,34440.7,6992430,946052,7938480,1922,8,4,2013,2010@2013
over 70,Female,Provisional,Comprehensive,489036,844.005,159515,125,159640,43,0,4,2013,2010@2013
over 70,Male,Full,Comprehensive,29084800,55454.9,13081600,1829030,14910600,3193,16,4,2013,2010@2013
over 70,Male,Provisional,Comprehensive,378272,595.29,115610,54665,170275,35,0,4,2013,2010@2013
17 to 20,Female,Full,ThirdPartyFireTheft,772090,824.027,1134840,227000,1361840,48,3,4,2013,2010@2013
17 to 20,Female,Provisional,ThirdPartyFireTheft,3695130,2929.61,2260830,1312190,3573020,260,5,4,2013,2010@2013
17 to 20,Male,Full,ThirdPartyFireTheft,3029680,1862.12,1721930,1601420,3323340,178,6,4,2013,2010@2013
17 to 20,Male,Provisional,ThirdPartyFireTheft,5644060,2652.7,4506430,3831330,8337760,342,17,4,2013,2010@2013
17 to 20,Female,Full,ThirdPartyFireTheft,3191450,4201.83,1641370,480247,2121620,232,5,4,2013,2010@2013
17 to 20,Female,Provisional,ThirdPartyFireTheft,4314040,3781.29,2973720,236115,3209840,316,7,4,2013,2010@2013
17 to 20,Male,Full,ThirdPartyFireTheft,9169840,7141.09,5156290,3180970,8337260,520,19,4,2013,2010@2013
17 to 20,Male,Provisional,ThirdPartyFireTheft,4443060,2441.36,3257570,981567,4239140,272,10,4,2013,2010@2013
21 to 24,Female,Full,ThirdPartyFireTheft,6193760,11048.4,3878180,1931780,5809960,617,7,4,2013,2010@2013
21 to 24,Female,Provisional,ThirdPartyFireTheft,5664590,6508.09,4618500,471232,5089740,491,8,4,2013,2010@2013
21 to 24,Male,Full,ThirdPartyFireTheft,16679900,18655.6,7278580,1866970,9145550,1232,20,4,2013,2010@2013
21 to 24,Male,Provisional,ThirdPartyFireTheft,5435140,4019.19,2985530,1506500,4492030,410,10,4,2013,2010@2013
25 to 30,Female,Full,ThirdPartyFireTheft,6575470,13885.4,3421780,868199,4289970,675,6,4,2013,2010@2013
25 to 30,Female,Provisional,ThirdPartyFireTheft,4398530,6351.11,2886580,1351110,4237690,429,9,4,2013,2010@2013
25 to 30,Male,Full,ThirdPartyFireTheft,18159000,28170.2,10384600,4042960,14427600,1632,23,4,2013,2010@2013
25 to 30,Male,Provisional,ThirdPartyFireTheft,5064560,5174.45,3184010,1297150,4481150,433,11,4,2013,2010@2013
31 to 50,Female,Full,ThirdPartyFireTheft,5864590,14147.1,2374540,1698250,4072800,639,11,4,2013,2010@2013
31 to 50,Female,Provisional,ThirdPartyFireTheft,2927710,4846.18,1621520,837541,2459060,336,4,4,2013,2010@2013
31 to 50,Male,Full,ThirdPartyFireTheft,16688100,32789.5,9866900,8059420,17926300,1628,30,4,2013,2010@2013
31 to 50,Male,Provisional,ThirdPartyFireTheft,3373940,4284.59,1715350,315434,2030780,333,5,4,2013,2010@2013
31 to 50,Female,Full,ThirdPartyFireTheft,5843500,12734.8,1729590,1348980,3078560,473,6,4,2013,2010@2013
31 to 50,Female,Provisional,ThirdPartyFireTheft,1892900,3101.88,858368,228602,1086970,160,2,4,2013,2010@2013
31 to 50,Male,Full,ThirdPartyFireTheft,12319000,25746.9,6994740,3023300,10018000,1048,17,4,2013,2010@2013
31 to 50,Male,Provisional,ThirdPartyFireTheft,1579910,2192.29,705582,188850,894432,111,2,4,2013,2010@2013
51 to 70,Female,Full,ThirdPartyFireTheft,4155140,10052.2,1178840,362265,1541110,309,3,4,2013,2010@2013
51 to 70,Female,Provisional,ThirdPartyFireTheft,1081590,2181.05,373819,0,373819,73,0,4,2013,2010@2013
51 to 70,Male,Full,ThirdPartyFireTheft,10045600,22831.4,3861660,1265530,5127190,703,11,4,2013,2010@2013
51 to 70,Male,Provisional,ThirdPartyFireTheft,980770,1581.61,527823,544154,1071980,70,3,4,2013,2010@2013
51 to 70,Female,Full,ThirdPartyFireTheft,2031260,6074.5,488530,403000,891530,144,1,4,2013,2010@2013
51 to 70,Female,Provisional,ThirdPartyFireTheft,418167,1042.57,61125,0,61125,40,0,4,2013,2010@2013
51 to 70,Male,Full,ThirdPartyFireTheft,6391330,16480.1,1939250,372895,2312140,410,5,4,2013,2010@2013
51 to 70,Male,Provisional,ThirdPartyFireTheft,414897,787.671,214622,46206,260828,32,0,4,2013,2010@2013
over 70,Female,Full,ThirdPartyFireTheft,1959260,4998.76,980594,689489,1670080,147,4,4,2013,2010@2013
over 70,Female,Provisional,ThirdPartyFireTheft,188702,395.995,17426,64400,81826,11,0,4,2013,2010@2013
over 70,Male,Full,ThirdPartyFireTheft,5911480,13770.2,2574260,1021350,3595610,402,7,4,2013,2010@2013
